Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
ANO4,2.886936553278519E-110,499.49931603682126,0.007266544519262126,499.49931603682126,High_Stem_Low_Stem
AL049775.3,8.550278051664311E-160,727.8560233879543,0.0064241322695292305,727.8560233879543,High_Stem_Low_Stem
AC133550.2,2.3889936728759853E-176,804.2266063537063,0.02084038790931752,804.2266063537063,High_Stem_Low_Stem
CA7,9.030867124698007E-111,501.82446839457043,-0.020546078544852103,-501.82446839457043,High_Stem_Low_Stem
AC025165.4,4.623214911263768E-134,609.1890924925247,-0.006772481893626808,-609.1890924925247,High_Stem_Low_Stem
CDK15,6.484823000284345E-166,756.0863622979487,0.004518282101084014,756.0863622979487,High_Stem_Low_Stem
TTBK1,1.5691453269276825E-36,160.0894545456904,0.004614890348387631,160.0894545456904,High_Stem_Low_Stem
LINC01013,3.498660493691359E-173,789.6192465193235,0.0017197331447393535,789.6192465193235,High_Stem_Low_Stem
GPR22,0.004853571649457307,8.059849975568795,-0.012491154134453496,-8.059849975568795,High_Stem_Low_Stem
LINC01501,1.6806731246E-314,1441.9209089096585,-0.007190057258003601,-1441.9209089096585,High_Stem_Low_Stem
AC010519.1,1.5946430566996861E-285,1308.1188177387885,0.019343623292323673,1308.1188177387885,High_Stem_Low_Stem
AL049712.1,1.2388883181466053E-55,247.9077305737119,-0.013779267216381244,-247.9077305737119,High_Stem_Low_Stem
GCK,5.823575829529567E-133,604.11237515436,0.005698940274703029,604.11237515436,High_Stem_Low_Stem
AC015936.1,1.3573668924107523E-76,344.3836889728991,0.00750327088270282,344.3836889728991,High_Stem_Low_Stem
AL365181.4,3.3964168399663697E-99,448.481303411867,-0.004809630576000258,-448.481303411867,High_Stem_Low_Stem
LYN,4.139286933913815E-4,12.63293367229926,0.04279885282788795,12.63293367229926,High_Stem_Low_Stem
CTTNBP2,3.4133504308807277E-125,568.2917124170453,0.11855416212426292,568.2917124170453,High_Stem_Low_Stem
CD109,3.122836731566947E-4,13.1640722345619,-0.22486172178911037,-13.1640722345619,High_Stem_Low_Stem
SPANXB1,8.17818133022053E-37,161.39007075189875,0.04745636189430671,161.39007075189875,High_Stem_Low_Stem
ENPP7,4.273266069183179E-62,277.64373516871274,-0.008305079327577056,-277.64373516871274,High_Stem_Low_Stem
NR1I2,8.973414548872455E-66,294.5753914828347,-0.030019800660055645,-294.5753914828347,High_Stem_Low_Stem
SLC4A4,6.396259376279037E-62,276.83763145079865,0.02720311460542757,276.83763145079865,High_Stem_Low_Stem
SPN,0.0,1974.7982218153993,-0.5139425735210812,-1974.7982218153993,High_Stem_Low_Stem
ARSE,1.4401823097082504E-220,1008.2672357440752,0.1309553102020175,1008.2672357440752,High_Stem_Low_Stem
SELPLG,0.0,1730.426874802637,-0.3605634262385131,-1730.426874802637,High_Stem_Low_Stem
AC005482.1,8.808181459925466E-116,524.9268697613152,0.04241175889969965,524.9268697613152,High_Stem_Low_Stem
IL27RA,2.324425765874824E-294,1348.9252632852767,-0.30387316075991144,-1348.9252632852767,High_Stem_Low_Stem
LRIG1,3.263296531240208E-42,186.18752210477032,0.037711521540572404,186.18752210477032,High_Stem_Low_Stem
EHHADH,4.551663537857881E-89,401.8257822209089,-0.03375227207425878,-401.8257822209089,High_Stem_Low_Stem
GAL3ST4,5.431934627096836E-172,784.1174811750061,0.033826306849329246,784.1174811750061,High_Stem_Low_Stem
TMEM98,2.2658327461468377E-22,95.181267908476,-0.06380759535212721,-95.181267908476,High_Stem_Low_Stem
SNAPC1,8.915624404629113E-6,19.94418145376767,0.032151825861547634,19.94418145376767,High_Stem_Low_Stem
SBSPON,3.2655087900937763E-200,914.3422719912305,0.016552043946741757,914.3422719912305,High_Stem_Low_Stem
CERCAM,1.9627858579014416E-52,233.1903070576227,-0.036800243071069036,-233.1903070576227,High_Stem_Low_Stem
HS3ST3A1,3.2181204610019895E-62,278.21003530902453,-0.020372882301221744,-278.21003530902453,High_Stem_Low_Stem
LIMCH1,2.8084674482423206E-11,44.642901313349284,0.12561603079666847,44.642901313349284,High_Stem_Low_Stem
LYST,2.1338145321014586E-223,1021.3258692191157,-0.39712692049445775,-1021.3258692191157,High_Stem_Low_Stem
ADAMTS12,2.239542386543487E-224,1025.848784828122,-0.03308974771813162,-1025.848784828122,High_Stem_Low_Stem
CD3E,0.0,2133.376057864549,-1.1184881244464295,-2133.376057864549,High_Stem_Low_Stem
CA5A,0.03675221908668123,4.449795064054342,-0.007712663885896272,-4.449795064054342,High_Stem_Low_Stem
GNA14,1.2240682856550266E-5,19.333938020405185,-0.020238850335772513,-19.333938020405185,High_Stem_Low_Stem
ARHGAP25,0.0,1674.5512907688171,-0.25985802632586263,-1674.5512907688171,High_Stem_Low_Stem
NEDD9,2.1566396316468206E-5,18.24811119075821,-0.3897401876448927,-18.24811119075821,High_Stem_Low_Stem
TUBB3,4.297381056671982E-6,21.34787001424047,0.036265246378736626,21.34787001424047,High_Stem_Low_Stem
CYTIP,0.0,1997.9695374055118,-0.7693458622663605,-1997.9695374055118,High_Stem_Low_Stem
DAPP1,4.3807712621690535E-53,236.18364492817636,0.4813029741449869,236.18364492817636,High_Stem_Low_Stem
APOBEC3B,1.4340863773746032E-39,174.04284976187046,0.15811520921356395,174.04284976187046,High_Stem_Low_Stem
AC025822.1,2.772268719629702E-213,974.663560728477,0.02276574186593932,974.663560728477,High_Stem_Low_Stem
HSH2D,1.9804888579885206E-139,633.9501533940675,-0.06305806049740147,-633.9501533940675,High_Stem_Low_Stem
RAET1L,7.11027860541786E-177,806.6560051486158,0.15213807739154983,806.6560051486158,High_Stem_Low_Stem
TMEM265,1.613018137849297E-105,477.61574284623566,0.7917415878757819,477.61574284623566,High_Stem_Low_Stem
PPL,4.376016919999553E-21,89.29718630308344,0.29191974053433334,89.29718630308344,High_Stem_Low_Stem
SLC10A6,4.2721496591728915E-87,392.7396989816625,0.028091337359687434,392.7396989816625,High_Stem_Low_Stem
RAI2,0.0,2187.341910720439,0.0897462703843664,2187.341910720439,High_Stem_Low_Stem
C12orf75,3.018211725341762E-11,44.50111201560867,0.002100485214608372,44.50111201560867,High_Stem_Low_Stem
ULBP2,2.381982205597308E-20,85.93908382027803,-0.06758567304654388,-85.93908382027803,High_Stem_Low_Stem
RAP2B,3.079390949453723E-59,264.4960046316737,0.6096228079508714,264.4960046316737,High_Stem_Low_Stem
B3GALT2,0.31512559881229046,1.042866653537203,0.008320739914374105,1.042866653537203,High_Stem_Low_Stem
NR3C1,1.567003119019707E-130,592.9130668022444,-0.34458707547805656,-592.9130668022444,High_Stem_Low_Stem
ADGRA2,8.92617316532802E-52,230.1658654893945,-0.005498499898635725,-230.1658654893945,High_Stem_Low_Stem
SAPCD1,1.3769041237516016E-255,1169.8756410200804,0.05198777919207802,1169.8756410200804,High_Stem_Low_Stem
CCBE1,3.9413855305247427E-154,701.7284158824732,-0.15188105796167392,-701.7284158824732,High_Stem_Low_Stem
PGM5,0.26184412438255594,1.2997259967123682,-0.001577178323569843,-1.2997259967123682,High_Stem_Low_Stem
CENPM,5.3336120087566636E-18,75.2070586189293,0.028338759354711928,75.2070586189293,High_Stem_Low_Stem
INHBE,8.867933292767343E-126,570.9904202834114,0.009098626282102892,570.9904202834114,High_Stem_Low_Stem
HELLS,1.9285155220120996E-21,90.92599799763047,-0.08300624674089326,-90.92599799763047,High_Stem_Low_Stem
CDC42EP3,1.1632938580073349E-5,19.432252303202404,-0.27579349963355215,-19.432252303202404,High_Stem_Low_Stem
DOCK3,1.2117915594658267E-224,1027.0828367171744,-0.0644368560629341,-1027.0828367171744,High_Stem_Low_Stem
AP003721.1,2.4568434150275978E-290,1330.352660898814,0.019010470505755633,1330.352660898814,High_Stem_Low_Stem
RIPOR2,0.0,1616.3217397714216,-0.26457724009241285,-1616.3217397714216,High_Stem_Low_Stem
PLEKHO1,1.3583404505358242E-144,657.7446046602272,-0.17650689892873395,-657.7446046602272,High_Stem_Low_Stem
